k;N;Ca;P;Mg;class
342.63;235.43;171.19;34.69;21.57;Ruim
73.41;443.11;81.7;68.23;10.02;Ruim
263.72;270.09;194.63;27.69;78.32;Ruim
431.74;146.94;199.52;14.86;82.80;Ruim
343.31;420.01;165.78;67.61;37.64;Ruim
314.56;171.54;60.89;99.08;96.21;Ruim
240.54;365.72;193.57;12.59;29.60;Ruim
305.01;424.78;106.31;80.64;44.63;Ruim
395.72;45.04;124.31;19.01;22.18;Ruim
343.0;409.86;192.17;11.89;97.69;Pessimo
420.9;210.72;76.87;55.14;63.41;Ruim
6.11;207.52;9.68;54.11;55.70;Ruim
251.01;275.12;110.64;0.98;99.78;Ruim
61.95;276.78;36.24;52.95;73.83;Ruim
94.02;125.76;138.49;20.24;12.63;Bom
214.11;178.36;59.61;61.01;55.47;Bom
92.23;130.89;133.66;38.24;39.63;Bom
196.73;448.82;195.49;57.38;78.45;Ruim
455.1;326.06;27.24;46.83;94.20;Ruim
243.22;469.25;195.38;36.94;66.19;Ruim
460.57;363.47;73.11;47.01;36.62;Ruim
96.62;172.30;163.14;0.33;20.83;Bom
217.14;97.81;43.85;63.37;94.15;Ruim
312.9;122.58;39.79;99.93;46.75;Bom
193.81;429.97;138.02;37.41;31.42;Ruim
110.72;205.28;147.26;57.22;22.23;Ruim
477.06;215.21;123.17;79.84;99.75;Ruim
211.29;68.52;189.79;41.77;31.27;Bom
225.82;458.19;173.65;76.72;11.57;Ruim
283.55;463.29;98.43;56.09;94.79;Ruim
65.12;224.16;62.21;35.19;74.09;Bom
393.65;23.16;176.66;16.29;4.47;Ruim
183.48;294.93;109.11;87.7;57.17;Ruim
15.1;167.72;139.25;52.19;12.78;Ruim
202.07;352.19;52.34;48.71;51.18;Ruim
247.62;309.92;32.38;0.88;78.25;Ruim
132.64;353.25;154.66;53.7;66.65;Bom
386.35;238.67;4.35;59.51;20.49;Ruim
166.99;227.33;111.58;2.0;74.15;Bom
18.25;129.44;194.58;49.57;97.56;Ruim
142.93;478.88;56.55;41.7;74.58;Bom
369.2;450.98;108.24;55.57;29.86;Ruim
438.08;351.15;164.53;37.77;3.70;Ruim
343.2;91.62;198.55;32.82;46.99;Ruim
6.52;103.60;30.4;62.52;17.61;Ruim
64.78;487.69;103.36;65.65;79.00;Ruim
11.53;5.02;6.78;87.66;54.71;Ruim
446.33;27.39;97.27;77.83;47.45;Ruim
109.26;128.13;60.99;69.78;96.89;Bom
168.95;189.90;166.78;47.93;67.18;Bom
443.91;124.21;137.99;52.69;95.77;Ruim
463.38;30.89;22.63;19.07;52.34;Ruim
332.96;441.58;80.04;66.56;86.73;Ruim
121.77;71.22;123.05;4.67;48.47;Bom
35.29;182.35;27.62;35.45;64.22;Ruim
20.1;348.66;29.85;49.7;95.77;Ruim
184.99;279.16;127.33;57.24;61.28;Ruim
34.41;464.46;72.13;34.94;75.91;Ruim
308.02;262.00;175.93;65.12;20.81;Ruim
55.75;136.29;132.13;5.32;76.11;Ruim
493.0;309.99;103.59;54.47;41.57;Ruim
285.59;16.50;81.07;91.02;38.51;Ruim
460.44;12.63;55.51;44.14;76.49;Ruim
190.06;147.40;6.02;42.65;72.18;Bom
247.99;398.66;145.63;29.66;35.99;Ruim
131.54;92.31;35.3;45.66;69.39;Bom
99.75;22.17;26.13;69.41;64.16;Ruim
71.47;179.78;79.21;89.14;2.80;Bom
93.93;376.19;58.37;70.93;71.09;Ruim
57.55;411.82;138.79;61.0;46.18;Ruim
129.16;451.64;149.71;84.81;29.12;Bom
478.71;409.90;120.92;62.69;68.66;Ruim
482.3;74.72;192.14;53.81;82.71;Ruim
169.75;186.15;119.79;57.32;58.14;Bom
151.98;333.89;189.8;73.95;70.97;Ruim
315.29;369.48;88.41;61.31;99.61;Ruim
58.29;178.95;2.41;47.99;8.13;Ruim
373.98;159.34;37.35;96.38;6.58;Ruim
391.79;216.10;178.76;50.41;43.39;Ruim
415.71;239.29;139.47;20.83;76.74;Ruim
297.53;29.19;71.06;58.25;84.79;Ruim
350.3;460.88;109.78;99.25;83.71;Ruim
460.52;1.73;46.37;82.76;49.12;Ruim
425.53;2.49;44.59;33.32;38.11;Ruim
425.4;82.43;8.09;9.08;62.21;Ruim
98.74;428.18;155.03;4.76;40.38;Ruim
459.91;247.52;31.48;62.96;32.68;Ruim
383.49;481.09;48.1;66.13;16.53;Ruim
497.87;371.31;116.25;18.74;48.65;Ruim
75.06;264.64;43.11;32.04;28.65;Bom
58.82;216.87;127.15;41.75;6.41;Ruim
401.65;305.04;78.09;8.09;63.01;Ruim
245.51;305.32;162.64;75.06;42.67;Ruim
480.3;104.70;185.05;14.06;47.93;Ruim
304.1;401.35;113.53;16.26;9.22;Ruim
57.42;107.60;12.9;42.6;8.50;Ruim
75.47;170.15;61.2;9.68;66.92;Bom
197.66;243.78;85.83;10.05;52.14;Ruim
107.77;166.19;24.23;6.9;63.22;Bom
33.07;288.96;4.99;33.24;96.97;Ruim
192.37;134.63;23.57;48.64;68.04;Bom
326.47;230.65;18.31;71.96;26.84;Ruim
193.03;288.24;159.16;95.17;25.35;Ruim
8.09;329.66;81.27;80.35;43.38;Ruim
448.09;195.64;157.17;43.98;58.70;Ruim
11.33;358.74;199.41;29.54;49.25;Ruim
108.52;201.91;45.74;98.51;76.55;Ruim
453.7;71.96;132.14;39.98;9.37;Ruim
450.51;166.39;56.05;10.59;83.67;Ruim
453.39;201.49;120.49;88.12;43.67;Ruim
286.8;437.37;7.27;61.94;36.33;Ruim
248.37;439.68;82.77;94.72;4.33;Ruim
263.36;294.67;34.11;61.35;71.00;Ruim
278.76;401.93;136.34;40.3;34.79;Ruim
97.35;30.07;101.24;15.8;29.50;Ruim
214.06;336.24;62.13;66.11;34.35;Bom
391.37;137.17;52.55;36.1;90.79;Bom
440.23;498.58;68.2;50.93;50.61;Ruim
486.74;48.74;65.25;21.73;33.65;Ruim
273.42;158.12;169.78;20.56;99.51;Ruim
263.61;406.04;145.61;44.53;90.32;Ruim
180.63;12.23;136.4;72.39;75.10;Ruim
469.08;336.96;160.0;10.36;64.33;Pessimo
320.03;216.51;153.86;42.05;30.38;Ruim
324.46;222.32;151.65;9.52;17.22;Ruim
452.46;23.87;162.92;80.84;51.17;Ruim
93.68;40.84;48.68;85.01;44.31;Ruim
2.52;62.40;162.3;68.06;52.80;Ruim
285.44;496.48;157.93;47.2;89.94;Ruim
312.23;221.50;28.68;96.69;34.12;Ruim
420.29;96.00;196.95;77.45;5.97;Ruim
22.34;303.45;41.55;45.14;96.91;Ruim
118.14;213.63;168.66;95.47;32.34;Ruim
329.16;88.98;101.28;36.44;81.38;Ruim
138.48;187.65;131.72;24.98;80.76;Bom
404.96;412.86;134.21;75.72;18.96;Ruim
223.27;318.09;187.86;0.02;21.10;Ruim
80.01;84.22;119.49;63.0;95.15;Ruim
342.92;164.72;135.79;87.94;91.21;Ruim
3.93;6.57;111.0;87.03;53.52;Ruim
3.36;256.34;11.56;12.69;73.45;Pessimo
50.12;409.53;19.82;92.25;2.68;Pessimo
149.28;406.17;158.35;30.9;87.82;Bom
208.27;41.42;106.47;1.87;11.07;Ruim
207.11;119.57;17.41;12.9;36.81;Ruim
361.22;315.91;165.54;57.58;33.30;Ruim
328.85;358.69;171.64;67.9;86.83;Pessimo
12.47;269.62;25.36;25.09;88.21;Ruim
222.05;7.31;189.04;1.4;16.85;Ruim
418.04;398.03;3.54;91.13;24.32;Ruim
395.13;272.89;122.35;16.55;10.24;Ruim
461.58;166.31;14.27;83.54;94.07;Ruim
388.89;49.30;65.63;52.35;15.83;Ruim
24.3;371.39;142.05;21.82;39.76;Ruim
108.78;374.31;47.33;31.27;45.16;Ruim
5.82;74.28;185.71;26.67;71.85;Ruim
334.61;191.27;87.09;5.27;1.61;Ruim
472.41;476.93;78.61;53.94;69.58;Ruim
125.94;6.81;56.5;5.28;20.75;Bom
360.04;287.55;193.03;40.27;58.39;Ruim
353.23;244.59;59.46;98.2;49.10;Ruim
97.49;117.79;5.83;16.05;86.54;Ruim
149.65;213.79;102.65;87.91;0.38;Bom
161.23;56.76;192.51;3.75;91.04;Ruim
479.19;72.97;83.68;87.23;0.01;Ruim
496.85;170.29;104.62;66.19;22.43;Bom
281.21;254.22;3.37;75.76;49.54;Ruim
424.49;20.31;183.93;30.63;58.91;Ruim
166.68;284.63;89.61;78.3;23.64;Bom
435.52;311.68;137.35;30.48;37.84;Ruim
151.67;98.28;133.26;35.82;49.04;Bom
277.28;150.41;148.03;92.46;59.14;Ruim
237.98;184.81;106.81;82.83;61.44;Ruim
441.78;118.49;191.02;95.43;17.92;Ruim
421.61;279.45;129.56;40.12;63.65;Ruim
279.08;255.64;105.77;51.28;17.79;Ruim
218.69;94.99;56.03;87.78;47.58;Ruim
219.21;40.23;178.51;36.44;2.76;Ruim
222.06;141.79;26.02;83.72;99.58;Bom
315.99;485.79;61.21;12.81;22.22;Ruim
217.42;374.72;98.45;7.88;87.96;Ruim
417.84;431.81;69.73;98.61;47.28;Ruim
269.56;233.44;147.14;52.09;73.14;Ruim
269.26;159.54;34.06;1.57;63.32;Ruim
243.34;268.83;92.44;96.36;20.40;Ruim
274.64;319.59;81.97;88.67;10.46;Ruim
454.98;347.32;17.7;1.65;17.52;Ruim
357.25;4.85;135.28;79.31;20.86;Ruim
137.99;451.24;13.97;95.94;45.80;Bom
364.15;56.20;180.48;27.47;87.45;Ruim
375.38;231.08;192.33;58.86;72.90;Ruim
222.36;282.72;46.16;82.29;24.54;Ruim
183.65;255.81;185.91;58.92;98.34;Ruim
92.5;468.41;19.09;22.46;12.40;Ruim
160.17;254.47;187.35;24.2;37.69;Bom
354.74;25.83;91.81;62.99;26.89;Ruim
71.42;309.21;3.95;55.42;60.18;Ruim
81.9;405.05;72.16;29.6;28.73;Bom
57.14;3.08;104.33;51.19;26.54;Ruim
258.7;331.25;147.05;23.93;75.14;Ruim
264.36;424.30;83.27;2.28;62.62;Ruim
437.13;10.25;199.94;86.19;32.01;Ruim
168.66;40.98;5.33;28.8;44.80;Bom
349.46;288.60;86.62;57.42;88.12;Ruim
238.59;28.15;88.93;3.29;54.92;Ruim
3.2;418.58;122.83;9.75;94.06;Pessimo
470.6;90.85;57.19;93.58;31.92;Ruim
98.6;56.91;112.11;72.33;62.90;Ruim
30.05;110.42;131.35;9.37;24.09;Ruim
361.76;222.18;90.79;8.91;88.96;Ruim
127.85;141.98;72.51;19.05;60.90;Ideal
447.84;271.58;176.99;62.01;41.30;Ruim
186.88;409.85;100.48;19.64;67.13;Ruim
130.49;439.39;106.63;78.02;66.47;Bom
467.93;127.07;27.69;35.08;9.61;Bom
480.67;128.60;133.36;55.02;1.28;Ruim
448.86;323.39;22.42;35.85;20.73;Ruim
450.96;287.64;98.09;25.07;8.55;Ruim
188.07;328.27;195.13;12.96;42.30;Ruim
29.93;271.13;3.51;7.11;43.08;Ruim
163.82;258.79;103.1;36.09;90.51;Bom
488.54;408.96;69.08;52.52;21.27;Ruim
336.47;366.99;95.31;43.76;34.68;Ruim
26.53;202.12;161.39;93.87;14.91;Ruim
103.62;113.06;85.6;2.02;40.96;Bom
356.44;387.01;177.01;39.04;95.80;Ruim
308.48;252.09;98.46;61.25;1.65;Ruim
273.16;105.32;182.81;86.67;18.16;Ruim
139.41;150.55;182.3;5.95;3.84;Bom
164.16;113.27;173.33;99.28;16.98;Bom
358.97;492.28;137.83;45.81;96.02;Ruim
326.75;381.67;122.15;69.01;82.84;Pessimo
349.58;41.44;167.82;79.28;24.38;Ruim
239.89;482.40;72.92;37.24;55.50;Bom
369.09;95.68;150.64;78.41;78.35;Ruim
276.78;400.34;136.04;90.88;31.62;Ruim
107.6;362.95;99.16;72.84;13.76;Ruim
150.05;413.49;10.54;95.93;53.40;Bom
440.58;8.67;25.22;4.45;68.42;Pessimo
15.16;244.60;106.1;67.28;70.01;Ruim
88.6;465.61;99.21;55.88;65.29;Ruim
206.84;102.46;52.24;76.71;5.36;Ruim
29.17;378.55;83.64;46.23;21.00;Ruim
363.27;78.02;121.66;89.76;96.68;Ruim
448.89;217.81;47.88;90.73;85.90;Ruim
329.17;422.73;25.04;45.61;75.89;Ruim
14.33;262.77;131.37;27.51;45.48;Ruim
113.9;352.69;160.07;51.69;35.99;Ruim
35.63;403.70;168.82;95.75;47.93;Ruim
28.89;286.31;165.12;63.49;57.54;Pessimo
240.51;262.91;195.28;60.19;71.81;Ruim
346.64;156.82;136.45;35.54;3.26;Bom
437.92;24.87;11.23;12.14;48.25;Ruim
243.69;233.73;70.4;86.19;67.03;Ruim
209.45;417.68;106.57;99.4;30.68;Ruim
61.62;38.61;96.69;43.31;12.69;Ruim
235.31;434.48;66.01;1.77;70.26;Ruim
451.63;465.41;134.85;32.89;58.71;Ruim
311.86;390.40;170.08;46.39;96.34;Ruim
175.22;346.22;188.51;1.73;17.06;Bom
174.3;328.73;125.14;63.02;35.99;Bom
168.63;257.01;117.1;94.34;13.06;Bom
125.34;12.91;62.08;79.53;40.67;Bom
338.4;445.20;173.48;39.91;49.19;Ruim
87.68;50.08;145.36;1.12;58.74;Ruim
224.27;103.03;184.01;8.43;51.26;Ruim
371.19;4.85;147.71;25.51;43.66;Ruim
417.41;82.33;9.41;78.75;40.47;Ruim
22.35;25.13;77.12;44.59;9.03;Ruim
377.43;175.15;74.66;3.47;85.80;Bom
125.64;271.45;162.91;25.73;89.62;Bom
340.63;72.33;103.6;30.61;24.04;Ruim
201.89;418.36;163.02;66.44;67.93;Ruim
216.45;444.21;101.07;22.41;72.88;Ruim
430.52;371.31;119.65;84.45;92.34;Ruim
498.46;122.53;92.67;36.24;86.89;Bom
410.26;249.72;122.06;86.6;27.02;Ruim
223.67;397.08;7.14;34.53;81.08;Ruim
42.9;351.73;35.15;76.68;25.42;Ruim
78.46;390.20;192.75;22.61;42.58;Ruim
336.28;423.91;110.86;66.93;40.21;Ruim
349.76;339.74;118.38;65.42;43.67;Ruim
172.15;283.40;48.13;80.15;84.68;Bom
265.44;165.76;128.0;82.67;56.20;Ruim
84.56;223.21;105.65;78.81;85.28;Ruim
327.91;425.59;106.81;96.9;52.49;Ruim
282.21;113.53;108.78;35.19;47.87;Ruim
384.85;273.74;111.11;25.66;18.61;Ruim
317.22;424.74;62.8;22.76;87.02;Ruim
232.45;92.97;0.36;54.44;98.66;Ruim
226.92;287.09;151.25;7.57;61.59;Ruim
438.79;396.20;132.37;19.78;53.28;Ruim
127.19;430.79;39.18;25.12;38.84;Bom
186.75;341.40;154.7;97.5;73.59;Ruim
109.94;334.86;156.22;98.08;3.04;Ruim
475.16;340.57;22.6;21.45;0.20;Ruim
443.46;301.54;174.16;70.45;11.67;Pessimo
88.92;351.70;158.03;92.28;95.91;Ruim
405.2;226.94;35.53;77.87;17.26;Ruim
309.81;482.16;29.89;18.97;39.75;Ruim
468.2;427.00;46.31;83.38;73.51;Ruim
178.83;395.38;186.62;64.42;41.70;Bom
122.69;7.51;105.93;3.91;89.06;Bom
408.13;10.36;22.45;35.75;54.52;Ruim
219.24;261.69;177.86;90.18;58.37;Ruim
8.57;372.19;156.7;21.7;7.74;Ruim
208.98;420.92;104.57;24.12;32.39;Ruim
215.68;264.63;44.38;96.11;93.73;Ruim
300.69;167.37;101.87;51.69;3.76;Bom
448.02;449.50;192.17;98.32;9.36;Pessimo
27.07;137.23;120.38;91.96;8.26;Ruim
98.33;403.89;164.18;85.53;21.89;Ruim
76.44;261.61;83.11;88.61;26.85;Bom
362.25;292.23;176.81;70.2;42.08;Ruim
269.16;430.48;56.69;86.15;75.47;Ruim
5.97;44.63;16.34;60.82;43.84;Ruim
278.45;74.03;191.62;36.49;11.45;Ruim
70.98;418.52;4.86;33.62;15.64;Ruim
88.41;299.08;46.18;84.16;63.48;Ruim
1.7;276.88;57.89;22.19;29.02;Ruim
374.02;135.02;141.49;37.7;76.37;Bom
152.4;75.96;138.79;51.58;38.32;Bom
185.11;234.35;40.2;89.67;89.33;Ruim
211.48;240.16;181.77;72.0;53.40;Ruim
428.58;371.43;70.96;37.43;60.84;Ruim
400.13;408.81;142.97;38.09;26.83;Ruim
49.94;70.69;29.88;63.27;88.71;Ruim
31.81;144.26;104.39;74.89;97.07;Ruim
84.87;257.22;133.21;9.46;49.97;Ruim
304.11;338.04;84.03;11.25;46.99;Ruim
103.25;145.20;63.74;69.05;88.10;Bom
123.49;314.18;70.12;14.25;14.49;Bom
496.46;390.23;54.16;55.21;39.87;Ruim
163.85;427.98;102.17;30.11;47.22;Bom
377.51;151.09;89.09;77.34;42.53;Bom
126.1;308.12;43.77;49.96;74.32;Bom
7.82;201.62;28.63;84.86;12.25;Ruim
178.47;475.94;11.78;28.42;46.96;Bom
318.88;237.72;171.53;90.13;74.40;Ruim
3.37;374.07;157.68;72.41;60.06;Pessimo
230.87;476.82;30.64;5.02;30.91;Ruim
316.95;94.85;47.3;19.22;8.64;Ruim
26.86;37.24;169.77;23.06;65.99;Ruim
203.63;41.22;157.89;77.73;15.54;Ruim
89.6;154.00;144.9;7.79;24.53;Bom
4.38;221.73;31.65;85.97;48.76;Ruim
163.63;389.54;49.81;96.49;9.08;Bom
495.37;28.80;167.78;13.58;23.31;Ruim
184.26;434.26;59.4;58.94;52.62;Ruim
27.01;374.96;63.34;24.29;76.49;Ruim
179.56;235.76;185.41;42.65;13.05;Bom
425.53;427.03;113.72;59.62;10.26;Ruim
244.41;112.69;41.07;93.57;34.51;Ruim
351.8;179.68;156.93;98.88;97.11;Ruim
206.17;340.49;146.41;59.24;28.77;Ruim
435.4;326.58;112.24;64.93;47.61;Ruim
160.9;254.00;154.43;84.36;55.24;Bom
315.3;210.32;165.34;79.66;54.93;Ruim
413.98;228.52;21.21;88.32;80.31;Ruim
348.4;400.19;37.13;36.97;31.11;Ruim
96.28;134.80;7.56;64.53;29.88;Bom
129.31;334.77;2.59;41.25;12.71;Bom
356.52;119.20;51.8;54.58;61.27;Ruim
345.18;177.52;190.4;52.04;7.63;Ruim
148.69;377.88;63.22;72.03;68.15;Bom
96.79;50.81;61.17;81.45;91.00;Ruim
445.45;457.89;129.96;38.32;65.68;Ruim
495.24;195.10;104.47;15.21;59.59;Ruim
73.62;66.61;50.47;97.51;42.70;Ruim
324.42;99.92;179.74;16.73;16.69;Ruim
379.58;71.66;13.4;17.63;69.96;Ruim
302.54;487.47;73.14;67.86;65.85;Ruim
61.8;49.44;140.72;80.22;76.16;Ruim
491.35;314.57;0.45;82.51;89.38;Pessimo
27.49;263.21;159.08;28.88;14.69;Ruim
345.87;417.18;127.38;90.58;6.39;Pessimo
397.69;181.30;31.07;65.73;76.05;Ruim
237.79;309.06;99.93;31.26;50.52;Ruim
38.91;94.37;69.36;55.63;0.85;Ruim
64.4;228.88;38.16;67.73;97.65;Ruim
313.18;495.56;127.7;43.37;6.46;Ruim
299.67;0.68;118.29;52.73;24.61;Ruim
125.17;168.98;109.66;43.03;45.17;Ideal
380.01;161.43;1.93;52.24;59.60;Ruim
448.54;68.18;129.92;47.07;99.96;Ruim
463.69;65.66;21.97;60.79;34.81;Ruim
463.43;300.62;101.46;67.79;3.24;Ruim
400.04;233.05;140.36;74.51;40.58;Ruim
59.96;465.27;89.83;38.08;45.17;Bom
53.29;77.05;17.08;42.67;3.56;Ruim
270.79;172.68;94.83;75.45;55.53;Bom
369.18;205.53;80.98;39.18;86.41;Bom
496.95;400.71;54.11;80.26;4.01;Ruim
381.65;43.22;171.6;12.01;41.92;Ruim
226.22;209.55;94.64;49.18;67.46;Ruim
478.57;427.52;71.63;49.29;18.80;Ruim
173.98;405.34;18.21;26.4;26.70;Bom
423.15;425.38;64.9;71.35;12.22;Ruim
15.94;391.18;40.7;95.05;53.33;Ruim
157.01;3.34;163.02;31.02;90.38;Bom
87.13;329.61;79.07;50.74;69.60;Bom
240.23;234.61;194.99;74.49;37.01;Ruim
40.4;43.06;71.03;12.51;44.23;Ruim
226.66;295.18;90.8;27.24;88.98;Bom
484.02;199.25;126.69;47.57;33.87;Ruim
44.67;429.58;146.29;83.15;90.27;Pessimo
199.98;162.00;166.39;2.0;57.60;Bom
129.68;367.91;78.63;5.78;93.20;Bom
300.59;267.43;163.25;30.13;26.20;Ruim
106.62;98.62;106.44;92.91;78.49;Ruim
237.83;194.39;177.32;92.65;0.38;Ruim
290.02;401.31;136.0;3.46;44.33;Ruim
43.36;259.73;43.97;41.12;16.15;Ruim
215.92;410.24;141.41;71.99;97.58;Ruim
16.45;478.07;68.09;5.99;32.33;Ruim
249.42;268.58;105.35;21.72;53.78;Ruim
163.31;111.02;38.61;32.35;24.20;Bom
171.84;78.08;146.12;49.2;15.07;Bom
83.36;424.79;20.61;25.64;91.03;Ruim
221.88;479.52;133.45;12.37;18.00;Ruim
258.43;328.99;58.12;55.86;52.93;Ruim
78.41;139.07;160.8;74.85;18.05;Bom
362.39;172.81;116.72;31.12;4.55;Bom
464.75;230.57;125.96;94.39;26.84;Ruim
320.99;101.91;42.87;25.39;0.95;Ruim
2.2;146.90;33.84;96.66;50.03;Bom
375.94;433.01;115.35;55.93;10.81;Ruim
182.48;397.95;51.76;59.39;29.83;Ruim
151.98;202.85;136.58;12.78;26.85;Bom
41.88;205.35;123.34;99.18;68.10;Ruim
463.0;43.67;14.07;78.87;23.18;Ruim
452.72;330.73;54.84;8.45;63.33;Ruim
429.14;315.13;37.73;1.07;62.01;Ruim
285.39;364.07;73.52;76.98;79.89;Ruim
403.41;237.72;151.13;99.96;60.05;Ruim
381.91;299.33;143.46;50.29;19.48;Ruim
307.41;140.44;166.94;88.67;71.12;Ruim
355.16;97.53;139.46;53.66;86.72;Ruim
360.25;106.61;118.15;99.88;40.36;Ruim
281.18;335.02;144.52;7.49;94.80;Pessimo
354.05;59.44;97.69;29.24;3.79;Ruim
220.04;196.77;121.55;91.26;93.22;Ruim
247.78;240.05;146.01;94.0;85.21;Ruim
19.3;218.05;46.08;91.42;0.21;Ruim
0.57;72.28;138.51;26.15;59.19;Ruim
441.23;430.46;126.7;70.72;82.90;Pessimo
60.87;100.35;34.34;83.69;36.74;Ruim
460.87;218.39;77.32;32.4;96.01;Bom
427.82;166.55;118.43;63.77;15.54;Bom
288.35;243.85;114.43;73.2;13.65;Ruim
193.62;179.00;83.41;63.44;55.50;Bom
402.41;430.32;173.77;29.17;37.91;Ruim
298.32;3.30;0.96;63.2;24.50;Ruim
34.63;330.33;160.51;71.8;62.93;Pessimo
298.52;187.80;71.41;85.61;6.43;Ruim
157.49;288.76;70.82;66.54;72.18;Bom
271.81;421.80;184.4;76.1;8.05;Pessimo
296.92;268.37;101.07;31.36;44.42;Ruim
442.02;259.72;194.16;72.6;64.15;Pessimo
31.14;186.30;3.29;18.72;73.99;Ruim
486.1;408.18;25.57;12.6;12.54;Pessimo
318.93;362.12;4.45;97.5;30.32;Ruim
360.52;476.57;137.65;79.48;64.19;Pessimo
431.89;78.29;70.01;38.12;83.67;Bom
315.81;338.11;177.66;17.98;34.58;Ruim
121.2;276.53;198.24;63.41;30.09;Bom
135.9;375.23;140.71;79.74;51.78;Bom
265.8;232.93;100.18;13.34;15.84;Ruim
63.42;268.50;102.4;51.4;51.43;Ruim
155.57;268.05;192.79;23.33;37.01;Bom
294.92;310.01;98.9;31.31;12.62;Ruim
47.05;88.47;153.05;60.08;8.11;Ruim
16.14;360.31;170.75;65.09;26.37;Ruim
236.0;161.32;95.97;83.57;65.00;Bom
494.43;462.16;58.66;78.86;52.33;Ruim
287.37;95.68;54.2;53.85;81.97;Ruim
323.45;195.40;19.47;80.02;71.34;Ruim
185.99;194.23;74.75;36.32;49.29;Bom
43.42;149.47;127.36;55.51;38.11;Bom
379.87;463.37;183.24;47.13;90.71;Ruim
183.51;374.12;89.31;65.96;58.66;Ruim
145.59;201.31;29.43;20.72;59.83;Bom
23.13;241.09;138.08;4.79;71.41;Pessimo
268.19;138.46;10.1;78.12;82.54;Ruim
344.85;398.40;117.15;54.44;42.77;Ruim
221.86;10.77;34.0;78.52;45.05;Ruim
72.71;291.98;59.94;67.3;79.11;Ruim
415.87;358.95;87.66;36.11;34.69;Bom
349.71;151.87;4.42;99.51;80.98;Ruim
52.78;421.66;69.54;93.21;38.43;Ruim
31.58;12.06;165.32;7.49;82.25;Pessimo
470.13;92.21;178.71;46.48;32.82;Ruim
248.88;45.04;103.88;19.29;72.08;Ruim
481.82;473.18;163.31;67.94;65.73;Pessimo
461.39;458.99;29.1;88.75;52.31;Ruim
132.61;211.35;145.53;91.66;35.55;Bom
269.54;271.76;115.98;88.43;56.11;Ruim
188.77;345.23;12.96;4.25;27.26;Ruim
170.48;190.21;102.78;55.01;34.96;Bom
52.06;161.28;161.64;0.82;25.53;Ruim
386.61;161.40;186.33;22.6;91.35;Ruim
32.86;164.98;1.37;90.09;44.24;Ruim
50.83;415.91;151.82;23.81;44.80;Ruim
285.27;328.81;40.48;93.53;21.27;Ruim
121.46;457.97;81.01;74.33;69.05;Bom
113.46;384.75;178.06;29.32;53.64;Ruim
446.55;321.18;106.53;33.52;86.48;Ruim
270.87;375.65;116.09;85.06;15.50;Ruim
22.38;228.17;113.6;61.01;80.03;Ruim
15.63;395.09;173.48;61.49;28.10;Ruim
401.72;432.44;6.64;78.63;43.01;Ruim
108.34;195.60;70.26;25.98;53.96;Bom
144.2;31.87;119.74;77.61;15.98;Bom
126.09;399.47;180.87;68.32;11.22;Ruim
217.29;462.98;126.92;91.46;51.26;Ruim
35.53;128.16;169.71;62.05;9.80;Ruim
153.77;55.75;80.65;64.98;99.72;Bom
470.71;115.72;79.07;24.49;64.25;Ruim
317.25;238.91;40.27;34.28;27.04;Bom
490.09;51.52;80.15;34.04;0.67;Ruim
385.95;375.78;58.47;43.27;52.63;Ruim
441.19;70.01;58.99;39.58;62.56;Ruim
199.41;482.45;77.35;16.09;25.28;Bom
179.12;183.25;18.71;54.74;64.79;Bom
408.83;247.66;48.81;75.01;69.30;Ruim
386.74;237.88;160.15;9.2;20.26;Ruim
65.47;174.28;164.34;70.25;28.02;Bom
121.19;291.39;106.85;80.57;11.22;Bom
211.8;398.36;53.72;83.59;41.38;Ruim
187.23;435.03;166.26;91.2;84.59;Ruim
412.65;310.43;30.08;25.25;95.12;Ruim
431.85;439.48;89.58;58.48;72.44;Ruim
68.66;178.14;93.51;73.28;0.53;Bom
45.61;478.20;76.04;28.56;71.78;Ruim
14.69;399.78;156.63;0.1;10.22;Pessimo
8.77;481.36;63.48;57.72;7.29;Ruim
153.79;484.99;11.75;83.47;92.00;Ruim
314.77;388.53;145.81;63.4;72.72;Pessimo
81.53;476.87;169.17;30.55;92.86;Ruim
458.43;192.35;63.8;29.21;68.50;Ruim
312.6;38.13;2.54;7.12;64.73;Pessimo
284.77;84.18;94.9;18.4;10.61;Ruim
98.46;203.73;61.72;84.22;98.51;Bom
48.77;58.91;87.06;89.69;7.45;Ruim
212.86;313.99;59.09;65.23;51.97;Ruim
427.97;453.06;114.16;22.35;83.88;Ruim
83.38;43.09;116.12;70.67;67.29;Ruim
90.63;373.11;50.76;28.99;72.94;Ruim
305.17;182.02;190.74;43.41;27.26;Ruim
92.28;306.14;19.56;73.08;86.53;Ruim
311.68;365.66;130.83;41.2;93.79;Ruim
133.27;476.90;47.17;14.99;88.02;Bom
301.43;185.86;110.01;56.41;20.77;Ruim
400.03;394.38;91.08;74.38;23.64;Ruim
180.59;184.24;186.42;45.9;51.52;Bom
16.27;103.90;24.01;1.53;20.71;Ruim
333.42;172.46;54.74;71.18;5.11;Ruim
409.7;407.35;144.31;48.59;76.00;Ruim
276.9;369.82;108.18;91.47;2.18;Ruim
121.34;393.08;60.96;49.06;18.44;Bom
348.45;78.16;181.83;81.94;86.07;Ruim
339.87;331.78;82.6;8.2;20.07;Ruim
